,REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,PortionOfYear,YearWPortion
0,National,X,1997,40,1.10148,1.21686,179,X,157,205,X,29,570,192,46842,0.7547169811320755,1997.754716981132
1,National,X,1997,41,1.20007,1.28064,199,X,151,242,X,23,615,191,48023,0.7735849056603774,1997.7735849056603
2,National,X,1997,42,1.37876,1.23906,228,X,153,266,X,34,681,219,54961,0.7924528301886793,1997.7924528301887
3,National,X,1997,43,1.1992,1.14473,188,X,193,236,X,36,653,213,57044,0.8113207547169812,1997.811320754717
4,National,X,1997,44,1.65618,1.26112,217,X,162,280,X,41,700,213,55506,0.8301886792452831,1997.8301886792453
5,National,X,1997,45,1.41326,1.28275,178,X,148,281,X,48,655,195,51062,0.8490566037735849,1997.8490566037735
6,National,X,1997,46,1.9868,1.44579,294,X,240,328,X,70,932,248,64463,0.8679245283018868,1997.867924528302
7,National,X,1997,47,2.44749,1.6479599999999999,288,X,293,456,X,63,1100,256,66749,0.8867924528301887,1997.8867924528302
8,National,X,1997,48,1.73901,1.67517,268,X,206,343,X,69,886,252,52890,0.9056603773584906,1997.9056603773586
9,National,X,1997,49,1.9391900000000002,1.6173899999999999,299,X,282,415,X,102,1098,253,67887,0.9245283018867925,1997.9245283018868
10,National,X,1997,50,2.28166,1.7663200000000001,346,X,268,388,X,81,1083,242,61314,0.9433962264150944,1997.9433962264152
11,National,X,1997,51,2.5076099999999997,2.10398,348,X,235,362,X,59,1004,190,47719,0.9622641509433962,1997.9622641509434
12,National,X,1997,52,4.113519999999999,3.13655,510,X,404,492,X,113,1519,251,48429,0.9811320754716981,1997.9811320754718
13,National,X,1997,53,5.62372,3.7185,579,X,584,576,X,207,1946,250,52333,1.0,1998.0
14,National,X,1998,1,4.37398,3.59225,639,X,759,810,X,207,2415,254,67228,0.018867924528301886,1998.0188679245282
15,National,X,1998,2,4.19434,3.6892199999999997,690,X,654,1121,X,148,2613,255,70828,0.03773584905660377,1998.0377358490566
16,National,X,1998,3,5.42123,4.60396,856,X,679,1440,X,151,3126,245,67898,0.05660377358490566,1998.0566037735848
17,National,X,1998,4,5.66137,4.910069999999999,824,X,817,1600,X,196,3437,245,69999,0.07547169811320754,1998.0754716981132
18,National,X,1998,5,5.97802,4.8268699999999995,881,X,769,1471,X,233,3354,239,69486,0.09433962264150944,1998.0943396226414
19,National,X,1998,6,4.7358,3.9459,699,X,671,1101,X,146,2617,234,66322,0.11320754716981132,1998.1132075471698
20,National,X,1998,7,3.44581,3.1081,457,X,523,849,X,119,1948,223,62675,0.1320754716981132,1998.132075471698
21,National,X,1998,8,2.47799,2.1395299999999997,313,X,330,534,X,112,1289,217,60247,0.1509433962264151,1998.1509433962265
22,National,X,1998,9,1.6573200000000001,1.43954,241,X,214,308,X,64,827,211,57449,0.16981132075471697,1998.1698113207547
23,National,X,1998,10,1.9695200000000002,1.47879,201,X,183,305,X,59,748,208,50582,0.18867924528301888,1998.188679245283
24,National,X,1998,11,1.58545,1.08556,162,X,123,249,X,51,585,200,53889,0.20754716981132076,1998.2075471698113
25,National,X,1998,12,1.8047400000000002,0.997967,156,X,93,196,X,41,486,177,48699,0.22641509433962265,1998.2264150943397
26,National,X,1998,13,1.04624,0.744205,90,X,92,144,X,32,358,182,48105,0.24528301886792453,1998.245283018868
27,National,X,1998,14,1.4004,0.8566309999999999,82,X,93,152,X,41,368,170,42959,0.2641509433962264,1998.2641509433963
28,National,X,1998,15,0.79687,0.621737,64,X,73,106,X,19,262,156,42140,0.2830188679245283,1998.2830188679245
29,National,X,1998,16,0.717097,0.670954,82,X,68,100,X,15,265,155,39496,0.3018867924528302,1998.301886792453
30,National,X,1998,17,1.0023799999999998,0.694082,58,X,61,120,X,27,266,148,38324,0.32075471698113206,1998.3207547169811
31,National,X,1998,18,0.9084030000000001,0.583457,39,X,64,93,X,13,209,136,35821,0.33962264150943394,1998.3396226415093
32,National,X,1998,19,0.443014,0.5776399999999999,79,X,37,61,X,9,186,131,32200,0.3584905660377358,1998.3584905660377
33,National,X,1998,20,0.6389859999999999,0.605216,54,X,40,52,X,19,165,120,27263,0.37735849056603776,1998.377358490566
34,National,X,1998,21,0.0,0.0,0,0,0,0,0,0,0,0,0,0.39622641509433965,1998.3962264150944
35,National,X,1998,22,0.0,0.0,0,0,0,0,0,0,0,0,0,0.41509433962264153,1998.4150943396226
36,National,X,1998,23,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4339622641509434,1998.433962264151
37,National,X,1998,24,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4528301886792453,1998.4528301886792
38,National,X,1998,25,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4716981132075472,1998.4716981132076
39,National,X,1998,26,0.0,0.0,0,0,0,0,0,0,0,0,0,0.49056603773584906,1998.4905660377358
40,National,X,1998,27,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5094339622641509,1998.5094339622642
41,National,X,1998,28,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5283018867924528,1998.5283018867924
42,National,X,1998,29,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5471698113207547,1998.5471698113208
43,National,X,1998,30,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5660377358490566,1998.566037735849
44,National,X,1998,31,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5849056603773585,1998.5849056603774
45,National,X,1998,32,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6037735849056604,1998.6037735849056
46,National,X,1998,33,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6226415094339622,1998.622641509434
47,National,X,1998,34,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6415094339622641,1998.6415094339623
48,National,X,1998,35,0.0,0.0,0,0,0,0,0,0,0,0,0,0.660377358490566,1998.6603773584907
49,National,X,1998,36,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6792452830188679,1998.6792452830189
50,National,X,1998,37,0.0,0.0,0,0,0,0,0,0,0,0,0,0.6981132075471698,1998.698113207547
51,National,X,1998,38,0.0,0.0,0,0,0,0,0,0,0,0,0,0.7169811320754716,1998.7169811320755
52,National,X,1998,39,0.0,0.0,0,0,0,0,0,0,0,0,0,0.7358490566037735,1998.7358490566037
53,National,X,1998,40,1.57733,0.697291,115,X,139,210,X,26,490,304,70272,0.7547169811320755,1998.754716981132
54,National,X,1998,41,1.3088,0.7847770000000001,133,X,174,262,X,36,605,328,77092,0.7735849056603774,1998.7735849056603
55,National,X,1998,42,1.41744,0.902906,217,X,225,287,X,54,783,350,86720,0.7924528301886793,1998.7924528301887
56,National,X,1998,43,1.18272,1.13792,278,X,226,530,X,52,1086,377,95437,0.8113207547169812,1998.811320754717
57,National,X,1998,44,2.33432,1.0155100000000001,298,X,262,414,X,60,1034,388,101821,0.8301886792452831,1998.8301886792453
58,National,X,1998,45,1.81577,1.0009,258,X,292,402,X,70,1022,400,102108,0.8490566037735849,1998.8490566037735
59,National,X,1998,46,2.17975,1.13895,355,X,281,478,X,64,1178,372,103429,0.8679245283018868,1998.867924528302
60,National,X,1998,47,2.1124,1.44938,291,X,322,512,X,83,1208,403,83346,0.8867924528301887,1998.8867924528302
61,National,X,1998,48,2.04854,1.1390799999999999,319,X,310,453,X,94,1176,392,103241,0.9056603773584906,1998.9056603773586
62,National,X,1998,49,1.93248,1.1602299999999999,353,X,303,461,X,85,1202,399,103600,0.9245283018867925,1998.9245283018868
63,National,X,1998,50,1.90468,1.17127,312,X,320,426,X,83,1141,396,97416,0.9433962264150944,1998.9433962264152
64,National,X,1998,51,2.55983,1.49061,335,X,296,359,X,74,1064,384,71380,0.9622641509433962,1998.9622641509434
65,National,X,1998,52,3.99108,1.8428799999999999,418,X,466,377,X,162,1423,382,77216,0.9811320754716981,1998.9811320754718
66,National,X,1999,1,3.08581,1.8239,439,X,659,548,X,134,1780,396,97593,0.018867924528301886,1999.0188679245282
67,National,X,1999,2,4.16383,2.54354,431,X,962,874,X,140,2407,396,94632,0.03773584905660377,1999.0377358490566
68,National,X,1999,3,5.58049,3.6158099999999997,801,X,1168,1689,X,206,3864,399,106864,0.05660377358490566,1999.0566037735848
69,National,X,1999,4,5.25328,4.07912,755,X,1419,2185,X,186,4545,397,111421,0.07547169811320754,1999.0754716981132
